period,date,digit_0,digit_1,digit_2,number_str,sum,sales,prizes
2026-01-03,2026003,6,0,1,601,7,,
2026-01-04,2026004,0,1,9,019,10,,
2026-01-05,2026005,4,7,6,476,17,,
2026-01-06,2026006,2,4,4,244,10,,
2026-01-07,2026007,3,5,3,353,11,,
2026-01-08,2026008,2,5,2,252,9,,
2026-01-09,2026009,2,6,5,265,13,,
2026-01-10,2026010,6,6,7,667,19,,
2026-01-11,2026011,6,4,7,647,17,,
2026-01-12,2026012,2,4,1,241,7,,
2026-01-13,2026013,5,1,3,513,9,,
2026-01-14,2026014,0,5,0,050,5,,
2026-01-15,2026015,5,3,2,532,10,,
2026-01-16,2026016,5,8,2,582,15,,
2026-01-17,2026017,9,4,5,945,18,,
2026-01-18,2026018,4,9,4,494,17,,
2026-01-19,2026019,2,2,3,223,7,,
2026-01-20,2026020,6,7,6,676,19,,
2026-01-21,2026021,5,5,9,559,19,,
2026-01-22,2026022,6,7,8,678,21,,
2026-01-23,2026023,7,8,4,784,19,,
2026-01-24,2026024,9,1,1,911,11,,
2026-01-25,2026025,0,2,9,029,11,,
2026-01-26,2026026,0,9,9,099,18,,
2026-01-27,2026027,1,2,6,126,9,,
2026-01-28,2026028,2,7,0,270,9,,
2026-01-29,2026029,0,0,3,003,3,,
2026-01-30,2026030,1,3,4,134,8,,
2026-01-31,2026031,1,4,2,142,7,,
2026-02-01,2026032,4,5,2,452,11,,
2026-02-02,2026033,1,1,9,119,11,,
2026-02-03,2026034,0,5,2,052,7,,
2026-02-04,2026035,2,1,3,213,6,,
